concept_id	concept_name	domain_id	vocabulary_id	concept_class_id	standard_concept	concept_code	valid_start_date	valid_end_date	invalid_reason
45957044	Potassium glycerophosphate	Observation	SNOMED	Substance	S	4350511000001106	19700101	20991231	
45957047	Calcium carbonate heavy	Observation	SNOMED	Substance	S	4368611000001102	19700101	20991231	
45957058	Pine Sylvestris oil	Observation	SNOMED	Substance	S	4483111000001105	19700101	20991231	
45957060	Pumilio pine oil	Observation	SNOMED	Substance	S	4483011000001109	19700101	20991231	
45957063	Albumin solution human	Observation	SNOMED	Substance	S	4508911000001106	19700101	20991231	
45957065	Juniper berry oil	Observation	SNOMED	Substance	S	4560911000001108	19700101	20991231	
45957066	Wintergreen oil	Observation	SNOMED	Substance	S	4561511000001108	19700101	20991231	
45957072	Calcium levofolinate	Observation	SNOMED	Substance	S	4640211000001100	19700101	20991231	
45957074	Honey purified	Observation	SNOMED	Substance	S	4670711000001106	19700101	20991231	
45957080	Capsicum tincture	Observation	SNOMED	Substance	S	4727511000001105	19700101	20991231	
45957081	Glucose liquid	Observation	SNOMED	Substance	S	4727611000001109	19700101	20991231	
45957085	Manganese glycerophosphate	Observation	SNOMED	Substance	S	4758911000001103	19700101	20991231	
45957088	Copper sulfate anhydrous	Observation	SNOMED	Substance	S	4778111000001104	19700101	20991231	
45974574	Somatropin (rbe) 6mg powder and solvent for solution for injection cartridges	Drug	SNOMED	Pharma/Biol Product		4177211000001104	19700101	20050814	U
45974575	Rosuvastatin 10mg tablets	Drug	SNOMED	Pharma/Biol Product		4172411000001103	19700101	20050815	U
45974576	Rosuvastatin 20mg tablets	Drug	SNOMED	Pharma/Biol Product		4172511000001104	19700101	20050815	U
45974577	Rosuvastatin 40mg tablets	Drug	SNOMED	Pharma/Biol Product		4172611000001100	19700101	20050815	U
45974578	Lanreotide 30mg powder and solvent for suspension for injection vials	Drug	SNOMED	Pharma/Biol Product		4177711000001106	19700101	20121016	U
45974579	Tetanus immunoglobulin 250units/1ml solution for injection pre-filled syringes	Drug	SNOMED	Pharma/Biol Product		4177411000001100	19700101	20050810	U
45974580	Sodium fluoride 1.1mg tablets	Drug	SNOMED	Pharma/Biol Product		4119311000001109	19700101	20050814	U
45974581	Sodium fluoride 2.2mg tablets	Drug	SNOMED	Pharma/Biol Product		4119511000001103	19700101	20050814	U
45974582	Sodium chloride 0.9% solution for injection 50ml vials	Drug	SNOMED	Pharma/Biol Product		4111111000001108	19700101	20050815	U
45974583	Sodium chloride 0.9% solution for injection 100ml vials	Drug	SNOMED	Pharma/Biol Product		4111011000001107	19700101	20050815	U
45974584	Tadalafil 10mg tablets	Drug	SNOMED	Pharma/Biol Product		4110211000001108	19700101	20050814	U
45974585	Tadalafil 20mg tablets	Drug	SNOMED	Pharma/Biol Product		4110311000001100	19700101	20050814	U
45974586	Sirolimus 1mg tablets	Drug	SNOMED	Pharma/Biol Product		4105311000001105	19700101	20050815	U
45974587	Salicylic acid 17% paint	Drug	SNOMED	Pharma/Biol Product		4105411000001103	19700101	20050815	U
45974588	Secobarbital sodium 50mg capsules	Drug	SNOMED	Pharma/Biol Product		4090211000001104	19700101	20050815	U
45974589	Oxycodone 5mg modified-release tablets	Drug	SNOMED	Pharma/Biol Product		4078211000001108	19700101	20050816	U
45974590	Salicylic acid 25% / Podophyllum resin 20% ointment	Drug	SNOMED	Pharma/Biol Product		4072311000001103	19700101	20051005	U
45974591	Hamamelis water 13% eye drops	Drug	SNOMED	Pharma/Biol Product		4072511000001109	19700101	20050814	U
45974592	Arachis oil 130ml enema	Drug	SNOMED	Pharma/Biol Product		4062311000001108	19700101	20050807	U
45974593	Mometasone 400micrograms/dose dry powder inhaler	Drug	SNOMED	Pharma/Biol Product		4053911000001106	19700101	20050818	U
45974594	Mometasone 200micrograms/dose dry powder inhaler	Drug	SNOMED	Pharma/Biol Product		4053811000001101	19700101	20050818	U
45974595	Lisuride 200microgram tablets	Drug	SNOMED	Pharma/Biol Product		4031211000001102	19700101	20050821	U
45974596	Zidovudine 300mg / Lamivudine 150mg tablets	Drug	SNOMED	Pharma/Biol Product		4030511000001106	19700101	20050808	U
45974597	Risedronate sodium 35mg tablets	Drug	SNOMED	Pharma/Biol Product		4031411000001103	19700101	20050815	U
45974598	Lidocaine 50mg/10ml (0.5%) solution for injection ampoules	Drug	SNOMED	Pharma/Biol Product		4029711000001106	19700101	20050821	U
45974599	Dihydrocodeine 50mg/1ml solution for injection ampoules	Drug	SNOMED	Pharma/Biol Product		4008911000001108	19700101	20050807	U
45974600	Ketamine 1g/10ml solution for injection vials	Drug	SNOMED	Pharma/Biol Product		4009211000001109	19700101	20060815	U
45974601	Ketamine 200mg/20ml solution for injection vials	Drug	SNOMED	Pharma/Biol Product		4009311000001101	19700101	20060815	U
45974602	Ketamine 500mg/10ml solution for injection vials	Drug	SNOMED	Pharma/Biol Product		4009411000001108	19700101	20060815	U
45974603	Hyoscine hydrobromide 150microgram tablets	Drug	SNOMED	Pharma/Biol Product		4033911000001107	19700101	20050814	U
45974604	Heparin sodium 5,000units/1ml solution for injection ampoules	Drug	SNOMED	Pharma/Biol Product		4009111000001103	19700101	20050814	U
45974605	Hyaluronidase 1,500unit powder for solution for injection ampoules	Drug	SNOMED	Pharma/Biol Product		4033011000001108	19700101	20050814	U
45974606	Dibrompropamidine 0.15% cream	Drug	SNOMED	Pharma/Biol Product		4008811000001103	19700101	20050807	U
45974607	Ganciclovir 0.15% eye gel	Drug	SNOMED	Pharma/Biol Product		3983311000001107	19700101	20050814	U
45974608	Ergometrine 500micrograms/1ml / Oxytocin 5units/1ml solution for injection ampoules	Drug	SNOMED	Pharma/Biol Product		3973611000001109	19700101	20050808	U
45974609	Dalteparin sodium 10,000units/0.4ml solution for injection pre-filled syringes	Drug	SNOMED	Pharma/Biol Product		3974611000001107	19700101	20050804	U
45974610	Dalteparin sodium 15,000units/0.6ml solution for injection pre-filled syringes	Drug	SNOMED	Pharma/Biol Product		3974811000001106	19700101	20050804	U
45974611	Dalteparin sodium 18,000units/0.72ml solution for injection pre-filled syringes	Drug	SNOMED	Pharma/Biol Product		3974911000001101	19700101	20050804	U
45974612	Dalteparin sodium 10,000units/1ml solution for injection ampoules	Drug	SNOMED	Pharma/Biol Product		3974411000001109	19700101	20050804	U
45974613	Dalteparin sodium 10,000units/4ml solution for injection ampoules	Drug	SNOMED	Pharma/Biol Product		3974511000001108	19700101	20050804	U
45974614	Dalteparin sodium 10,000units/1ml solution for injection pre-filled syringes	Drug	SNOMED	Pharma/Biol Product		3974711000001103	19700101	20050804	U
45974615	Dalteparin sodium 100,000units/4ml solution for injection vials	Drug	SNOMED	Pharma/Biol Product		3975011000001101	19700101	20050804	U
45974616	Diazepam 10mg/2ml emulsion for injection ampoules	Drug	SNOMED	Pharma/Biol Product		3973411000001106	19700101	20050807	U
45974617	Amisulpride 100mg/ml oral solution sugar free	Drug	SNOMED	Pharma/Biol Product		3947411000001100	19700101	20050804	U
45974618	Carbachol 3% eye drops	Drug	SNOMED	Pharma/Biol Product		3947611000001102	19700101	20050808	U
45974619	Nefazodone 50mg tablets	Drug	SNOMED	Pharma/Biol Product		3948311000001108	19700101	20050818	U
45974620	Glyceryl trinitrate 50mg/50ml solution for infusion vials	Drug	SNOMED	Pharma/Biol Product		3928211000001103	19700101	20050814	U
45974621	Glyceryl trinitrate 5mg/5ml solution for infusion ampoules	Drug	SNOMED	Pharma/Biol Product		3928311000001106	19700101	20050814	U
45974622	Progesterone 200mg pessaries	Drug	SNOMED	Pharma/Biol Product		3926311000001107	19700101	20060815	U
45974623	Ibuprofen 200mg capsules	Drug	SNOMED	Pharma/Biol Product		3926211000001104	19700101	20050815	U
45974624	Terazosin 2mg tablets and Terazosin 1mg tablets	Drug	SNOMED	Pharma/Biol Product		3909311000001106	19700101	20050814	U
45974625	Tropicamide 0.5% eye drops 0.5ml unit dose preservative free	Drug	SNOMED	Pharma/Biol Product		3909511000001100	19700101	20050808	U
45974626	Tropicamide 1% eye drops 0.5ml unit dose preservative free	Drug	SNOMED	Pharma/Biol Product		3909611000001101	19700101	20050808	U
45974628	Phytomenadione 1mg/0.5ml solution for injection ampoules	Drug	SNOMED	Pharma/Biol Product		3883911000001100	19700101	20050816	U
45974629	Octreotide 1mg/5ml solution for injection vials	Drug	SNOMED	Pharma/Biol Product		3883711000001102	19700101	20050816	U
45974630	Octreotide 50micrograms/1ml solution for injection ampoules	Drug	SNOMED	Pharma/Biol Product		3883811000001105	19700101	20050816	U
45974631	Fluocinolone acetonide 0.025% / Neomycin 0.5% ointment	Drug	SNOMED	Pharma/Biol Product		3864311000001102	19700101	20050818	U
45982154	Ebixa 10mg tablets (Lundbeck Ltd)	Drug	SNOMED	Pharma/Biol Product		3013111000001101	19700101	20991231	
45982178	Pnu-Imune vaccine solution for injection 0.5ml vials (Wyeth Pharmaceuticals)	Drug	SNOMED	Pharma/Biol Product		3018111000001105	20060512	20991231	
45982187	Engerix B 10micrograms/0.5ml vaccine suspension for injection pre-filled syringes (GlaxoSmithKline UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3020511000001106	20060512	20991231	
45982189	Prevenar vaccine suspension for injection 0.5ml vials (Wyeth Pharmaceuticals)	Drug	SNOMED	Pharma/Biol Product		3021111000001108	20060512	20991231	
45982190	Manorfen 400mg tablets (The Manor Drug Company (Nottingham) Ltd)	Drug	SNOMED	Pharma/Biol Product		3021311000001105	19700101	20991231	
45982914	Oxytetracycline 250mg tablets (Alliance Healthcare (Distribution) Ltd)	Drug	SNOMED	Pharma/Biol Product		3350311000001102	19700101	20991231	
45982918	Didronel 400mg tablets (Warner Chilcott UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3351411000001100	19700101	20991231	
45982921	Didronel PMO tablets (Warner Chilcott UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3352411000001105	19700101	20991231	
45982923	Micolette Micro-enema 5ml (Pinewood Healthcare)	Drug	SNOMED	Pharma/Biol Product		3352711000001104	20040324	20991231	
45982924	Relaxit Micro-enema 5ml (Supra Enterprises Ltd)	Drug	SNOMED	Pharma/Biol Product		3353011000001105	20040324	20991231	
45982925	Cyclo-Progynova 1mg tablets (Meda Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3353311000001108	19700101	20991231	
45982926	Inactive tablets (Orion Pharma (UK) Ltd)	Drug	SNOMED	Pharma/Biol Product		3353811000001104	19700101	20991231	
45982927	Estradiol valerate 2mg tablets (Orion Pharma (UK) Ltd)	Drug	SNOMED	Pharma/Biol Product		3354111000001108	19700101	20991231	
45982928	Doralese Tiltab 20mg tablets (Chemidex Pharma Ltd)	Drug	SNOMED	Pharma/Biol Product		3354611000001100	19700101	20991231	
45982929	Estradiol valerate 2mg / Medroxyprogesterone 20mg tablets (Orion Pharma (UK) Ltd)	Drug	SNOMED	Pharma/Biol Product		3354711000001109	20100625	20991231	
45982930	Voltarol 50mg dispersible tablets (Novartis Pharmaceuticals UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3354811000001101	19700101	20991231	
45982931	Tridestra tablets (Orion Pharma (UK) Ltd)	Drug	SNOMED	Pharma/Biol Product		3355511000001103	19700101	20991231	
45982176	Hydrocortistab 25mg/1ml suspension for injection ampoules (Advanz Pharma)	Drug	SNOMED	Pharma/Biol Product		3017511000001100	20040527	20991231	
45982932	Estradiol valerate 1mg tablets (Novartis Pharmaceuticals UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3355711000001108	19700101	20991231	
45982933	Locoid 0.1% cream (LEO Pharma)	Drug	SNOMED	Pharma/Biol Product		3356211000001107	19700101	20991231	
45982934	Didronel 200mg tablets (Warner Chilcott UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3356811000001108	19700101	20991231	
45982935	Locoid 0.1% Lipocream (LEO Pharma)	Drug	SNOMED	Pharma/Biol Product		3357011000001104	19700101	20991231	
45982936	Estradiol valerate 1mg / Norethisterone 1mg tablets (Novartis Pharmaceuticals UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3357111000001103	19700101	20991231	
45982937	Gyno-Daktarin 1200mg vaginal capsules (Janssen-Cilag Ltd)	Drug	SNOMED	Pharma/Biol Product		3357711000001102	20060607	20991231	
45982938	Climagest 1mg tablets (Novartis Pharmaceuticals UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3358411000001107	19700101	20991231	
45982939	Gyno-Daktarin 100mg pessaries (Janssen-Cilag Ltd)	Drug	SNOMED	Pharma/Biol Product		3358511000001106	19700101	20991231	
45982940	Full Marks 0.5% liquid (SSL International Plc)	Drug	SNOMED	Pharma/Biol Product		3358811000001109	19700101	20991231	
45982941	Migraleve Yellow tablets (McNeil Products Ltd)	Drug	SNOMED	Pharma/Biol Product		3359711000001105	19700101	20991231	
45982942	Estradiol valerate 2mg tablets (Novartis Pharmaceuticals UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3359911000001107	19700101	20991231	
45982943	Migraleve Pink tablets (McNeil Products Ltd)	Drug	SNOMED	Pharma/Biol Product		3361311000001102	19700101	20991231	
45982944	Estradiol valerate 2mg / Norethisterone 1mg tablets (Novartis Pharmaceuticals UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3362411000001104	19700101	20991231	
45982945	Migraleve tablets (McNeil Products Ltd)	Drug	SNOMED	Pharma/Biol Product		3363411000001108	19700101	20991231	
45982946	Ketovite tablets (Essential Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3363511000001107	19700101	20991231	
45982947	Climagest 2mg tablets (Novartis Pharmaceuticals UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3363611000001106	19700101	20991231	
45982948	Canesten Combi Pessary & Cream (Bayer Plc)	Drug	SNOMED	Pharma/Biol Product		3364411000001106	20051004	20991231	
45982949	Ketovite liquid (Essential Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3364611000001109	19700101	20991231	
45982950	Canesten Combi 500mg pessary and 2% cream (Bayer Plc)	Drug	SNOMED	Pharma/Biol Product		3364911000001103	19700101	20991231	
45982951	Gaviscon Infant oral powder sachets (Forum Health Products Ltd)	Drug	SNOMED	Pharma/Biol Product		3365311000001100	19700101	20991231	
45982952	Estradiol 2mg tablets (Kyowa Kirin Ltd)	Drug	SNOMED	Pharma/Biol Product		3365411000001107	19700101	20991231	
45982953	Isogel 90% granules (Potter's (Herbal Supplies) Ltd)	Drug	SNOMED	Pharma/Biol Product		3365911000001104	19700101	20991231	
45982954	Estradiol 2mg / Norethisterone 1mg tablets (Kyowa Kirin Ltd)	Drug	SNOMED	Pharma/Biol Product		3366011000001107	19700101	20991231	
45982955	Adgyn Combi tablets (Kyowa Kirin Ltd)	Drug	SNOMED	Pharma/Biol Product		3366411000001103	19700101	20991231	
45982959	Spiriva 18microgram inhalation powder capsules with HandiHaler (Boehringer Ingelheim Ltd)	Drug	SNOMED	Pharma/Biol Product		3378211000001106	19700101	20991231	
45982960	Sofra-tulle gauze dressing 10cm x 10cm (Aventis Pharma)	Drug	SNOMED	Pharma/Biol Product		3378311000001103	19700101	20991231	
45982961	Trasicor 20mg tablets (Amdipharm Plc)	Drug	SNOMED	Pharma/Biol Product		3379011000001106	19700101	20991231	
45982962	Nightcalm 25mg tablets (Galpharm International Ltd)	Drug	SNOMED	Pharma/Biol Product		3379111000001107	19700101	20991231	
45982963	Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3379611000001104	20100201	20991231	
45982964	Nytol 25mg tablets (Omega Pharma Ltd)	Drug	SNOMED	Pharma/Biol Product		3379711000001108	20140101	20991231	
45982965	Spiriva 18microgram inhalation powder capsules (Boehringer Ingelheim Ltd)	Drug	SNOMED	Pharma/Biol Product		3380011000001106	19700101	20991231	
45982966	Serevent 50micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3380111000001107	20060816	20991231	
45982967	Histergan 25mg tablets (Norma Chemicals Ltd)	Drug	SNOMED	Pharma/Biol Product		3380211000001101	19700101	20991231	
45982968	Dreemon 25mg tablets (E M Pharma)	Drug	SNOMED	Pharma/Biol Product		3380611000001104	19700101	20991231	
45982969	Maxivent 5mg/2.5ml nebuliser liquid unit dose Steripoule vials (Ashbourne Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3380811000001100	20100330	20991231	
45982970	Salbutamol 5mg/2.5ml nebuliser liquid unit dose vials (Mylan)	Drug	SNOMED	Pharma/Biol Product		3381111000001101	20100201	20991231	
45982971	Coracten XL 60mg capsules (UCB Pharma Ltd)	Drug	SNOMED	Pharma/Biol Product		3381511000001105	19700101	20991231	
45982972	Ventolin 5mg Nebules (GlaxoSmithKline UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3381811000001108	19700101	20991231	
45982973	Ventolin 200micrograms/dose Accuhaler (GlaxoSmithKline UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3382711000001107	20060816	20991231	
45982974	Senna 7.5mg tablets (A A H Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3382811000001104	19700101	20991231	
45982975	Protopic 0.03% ointment (LEO Pharma)	Drug	SNOMED	Pharma/Biol Product		3383011000001101	19700101	20991231	
45982976	Midazolam 10mg/2ml solution for injection ampoules (A A H Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3383311000001103	20090121	20991231	
45982977	Salamol 5mg/2.5ml nebuliser liquid Steri-Neb unit dose vials (Teva UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3383511000001109	20100309	20991231	
45982978	Midazolam 10mg/2ml solution for injection ampoules (Wockhardt UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3384011000001104	20090121	20991231	
45982979	Pulvinal Salbutamol 200micrograms/dose dry powder inhaler (Chiesi Ltd)	Drug	SNOMED	Pharma/Biol Product		3384111000001103	20060816	20991231	
45982980	Senna 7.5mg tablets (Actavis UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3384211000001109	19700101	20991231	
45982981	Protopic 0.1% ointment (LEO Pharma)	Drug	SNOMED	Pharma/Biol Product		3384711000001102	19700101	20991231	
45982983	Midazolam 10mg/2ml solution for injection ampoules (Alliance Healthcare (Distribution) Ltd)	Drug	SNOMED	Pharma/Biol Product		3385311000001102	20090121	20991231	
45982984	Senna 7.5mg tablets (Teva UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3385511000001108	19700101	20991231	
45982985	Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials (A A H Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3385711000001103	20100201	20991231	
45982986	Viread 245mg tablets (Gilead Sciences International Ltd)	Drug	SNOMED	Pharma/Biol Product		3386111000001105	19700101	20991231	
45982987	Senna 7.5mg tablets (Kent Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3386211000001104	19700101	20991231	
45982988	Maxivent 2.5mg/2.5ml nebuliser liquid unit dose Steripoule vials (Ashbourne Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3386411000001100	20100330	20991231	
45982989	Senokot 7.5mg tablets (Reckitt Benckiser Healthcare (UK) Ltd)	Drug	SNOMED	Pharma/Biol Product		3386711000001106	19700101	20991231	
45982990	Salbutamol 2.5mg/2.5ml nebuliser liquid unit dose vials (Mylan)	Drug	SNOMED	Pharma/Biol Product		3386811000001103	20100201	20991231	
45982991	Ventolin 2.5mg Nebules (GlaxoSmithKline UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3387011000001107	19700101	20991231	
45982992	Salamol 2.5mg/2.5ml nebuliser liquid Steri-Neb unit dose vials (Teva UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3387511000001104	20100309	20991231	
45982993	Lyclear 5% dermal cream (Omega Pharma Ltd)	Drug	SNOMED	Pharma/Biol Product		3387811000001101	19700101	20991231	
45982994	Cipralex 10mg tablets (Lundbeck Ltd)	Drug	SNOMED	Pharma/Biol Product		3388511000001100	19700101	20991231	
45982995	Senna 7.5mg tablets (Thornton & Ross Ltd)	Drug	SNOMED	Pharma/Biol Product		3389011000001103	19700101	20991231	
45983022	Salbutamol 100micrograms/dose inhaler (Mylan)	Drug	SNOMED	Pharma/Biol Product		3410611000001106	20060816	20991231	
45983023	Timoptol-LA 0.5% ophthalmic gel-forming solution (Santen UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3410811000001105	20030109	20991231	
45983024	Prostap SR 3.75mg powder and solvent for suspension for injection vials (Takeda UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3410911000001100	20040604	20991231	
45983025	Cerazette 75microgram tablets (Merck Sharp & Dohme Ltd)	Drug	SNOMED	Pharma/Biol Product		3411311000001106	19700101	20991231	
45983026	Salbutamol 100micrograms/dose inhaler (Kent Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3412611000001107	20060816	20991231	
45983027	Predenema 20mg/100ml standard tube (Forest Laboratories UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3413611000001102	19700101	20991231	
45983028	Oestrogel Pump-Pack 0.06% gel (Besins Healthcare (UK) Ltd)	Drug	SNOMED	Pharma/Biol Product		3414911000001105	19700101	20991231	
45983029	Salbutamol 100micrograms/dose inhaler (Sandoz Ltd)	Drug	SNOMED	Pharma/Biol Product		3415711000001107	20060816	20991231	
45983031	Salbutamol 100micrograms/dose inhaler (Alliance Healthcare (Distribution) Ltd)	Drug	SNOMED	Pharma/Biol Product		3417111000001102	20060816	20991231	
45983032	Timoptol-LA 0.25% ophthalmic gel-forming solution (Santen UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3417311000001100	20030109	20991231	
45983033	Prostap 3 Depot 11.25mg powder and solvent for suspension for injection vials (Takeda UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3417411000001107	20040604	20991231	
45983034	Codafen Continus tablets (Napp Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3420111000001109	19700101	20991231	
45983035	Timoptol Unit Dose 0.5% ophthalmic solution 0.2ml unit dose (Santen UK Ltd)	Drug	SNOMED	Pharma/Biol Product		3421611000001106	20061130	20991231	
45983036	Trasidrex modified-release tablets (Mercury Pharma Group Ltd)	Drug	SNOMED	Pharma/Biol Product		3444411000001107	20031211	20991231	
45983037	Reminyl 4mg/ml oral solution (Shire Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3444811000001109	19700101	20991231	
45983038	Flamazine 1% cream (Smith & Nephew Healthcare Ltd)	Drug	SNOMED	Pharma/Biol Product		3445611000001106	19700101	20991231	
45983039	Codeine 15mg/5ml linctus sugar free (A A H Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3445711000001102	19700101	20991231	
45983040	Transtec 35micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3446611000001101	20030113	20991231	
45983041	Codeine 15mg/5ml linctus sugar free (Vantage)	Drug	SNOMED	Pharma/Biol Product		3446711000001105	19700101	20991231	
45983042	Galcodine 15mg/5ml linctus (Thornton & Ross Ltd)	Drug	SNOMED	Pharma/Biol Product		3446911000001107	19700101	20991231	
45983043	Codeine 15mg/5ml linctus sugar free (Kent Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3447111000001107	19700101	20991231	
45983044	Estradiol 2mg tablets (Novo Nordisk Ltd)	Drug	SNOMED	Pharma/Biol Product		3447411000001102	19700101	20991231	
45983045	Codeine 15mg/5ml linctus sugar free (Alliance Healthcare (Distribution) Ltd)	Drug	SNOMED	Pharma/Biol Product		3447811000001100	19700101	20991231	
45983046	Estradiol 2mg / Norethisterone acetate 1mg tablets (Novo Nordisk Ltd)	Drug	SNOMED	Pharma/Biol Product		3448111000001108	19700101	20991231	
45983047	Codeine 15mg/5ml linctus sugar free (Thornton & Ross Ltd)	Drug	SNOMED	Pharma/Biol Product		3448511000001104	19700101	20991231	
45983048	Estradiol 1mg tablets (Novo Nordisk Ltd)	Drug	SNOMED	Pharma/Biol Product		3448611000001100	19700101	20991231	
45983049	Transtec 52.5micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3448811000001101	20030113	20991231	
45983050	Transtec 70micrograms/hour transdermal patches (Napp Pharmaceuticals Ltd)	Drug	SNOMED	Pharma/Biol Product		3449311000001104	20030113	20991231	
45983051	Trisequens tablets (Novo Nordisk Ltd)	Drug	SNOMED	Pharma/Biol Product		3449411000001106	19700101	20991231	
